#Forschungsflugzeugdatenbank,,,,,,,,,,,,,,,,,,,,,,
#Alexander,B.,,,,,,,,,,,,,,,,,,,,,
#2017-05-02,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
#Beschreibung:,,,,,,,,,,,,,,,,,,,,,,
#Diese,Datenbank,enthält,Forschungsflugzeuge,und,deren,Kennungen,,sodass,die,Routine,research_plane_tracking.R,diese,aus,den,Rohdatenströmen,identifizieren,können.,,Quellen:,https://www.flightradar24.com/,|,http://www.airframes.org/
,,,,,,,,,,,,,,,,,,,,,,
institute,registration,address,ac_type,icao_type,,,,,,,,,,,,,,,,,,
DLR,D-ATRA,3C0C4B,Airbus,A320-232,A320,,,,,,,,,,,,,,,,,
DLR,D-FDLR,3D526B,Cessna,208B,Grand,Garavan,C208,,,,,,,,,,,,,,,
DLR,D-CMET,3CE02B,Falcon,50E,5,FA20,,,,,,,,,,,,,,,,
DLR,D-CODE,3CE54A,Dornier,228-101,D228,,,,,,,,,,,,,,,,,
DLR,D-CFFU,3CCDCA,Dornier,228-212,D228,,,,,,,,,,,,,,,,,
DLR,D-FDLR,3C5192,Gulfstream,G550,GLF5,,,,,,,,,,,,,,,,,
DLR,D-ADLR,3D526B,Cessna,208,C208,,,,,,,,,,,,,,,,,
DLR,D-ADAM,3C502D,VFW-Fokker,614,VF14,,,,,,,,,,,,,,,,,
NASA/DLR,N747NA,AA0DB8,Boeing,747SP-21,B74S,,,,,,,,,,,,,,,,,
FUB,D-KMET,3E7C1B,Schleicher,ASK,16,AS16,,,,,,,,,,,,,,,,
FUB,D-EAFU,3D053E,Cessna,T207A,C207,,,,,,,,,,,,,,,,,
TUB,D-IBUF,3E1BF9,Dornier,Do-128-6,D28T,,,,,,,,,,,,,,,,,
