"press" "alt" "temp.mean" "temp.sd" "temp.count" "x.mean" "x.sd" "y.mean" "y.sd" "xy.count" "wdeg" "wspd"
1031.692 -500 NA NA NA NA NA NA NA NA NA NA
1013.25 0 NA NA NA NA NA NA NA NA NA NA
995.076 500 15.618 3.951 71 11.708 2.862 -7.749 2.826 72 303.5 14.04
977.166 1000 14.593 3.464 92 14.393 3.03 -9.579 3.244 99 303.645 17.289
959.519 1500 13.187 3.673 212 14.865 3.119 -9.092 2.769 217 301.45 17.425
942.13 2000 11.533 3.136 403 15.677 3.262 -8.813 2.65 420 299.343 17.984
924.998 2500 10.325 2.933 450 16.629 3.328 -7.89 2.919 475 295.382 18.405
924.998 2500 10.325 2.933 450 16.629 3.328 -7.89 2.919 475 295.382 18.405
908.118 3000 8.04 2.525 737 18.136 4.072 -6.676 4.847 773 290.21 19.326
891.489 3500 6.768 2.315 440 19.314 3.559 -5.691 4.932 457 286.418 20.135
875.108 4000 5.779 1.989 391 20.524 3.372 -6.454 4.125 410 287.457 21.515
858.971 4500 4.303 1.853 285 20.658 3.999 -5.91 3.909 299 285.965 21.486
850.008 4781 3.542 1.877 313 20.135 4.003 -6.07 3.917 327 286.775 21.03
843.075 5000 3.078 1.822 341 19.517 3.635 -5.991 3.989 357 287.065 20.416
827.419 5500 1.748 1.778 327 17.546 4.315 -5.432 4.266 343 287.201 18.367
811.999 6000 0.868 2.001 298 17.614 4.404 -5.355 4.046 313 286.91 18.41
796.813 6500 -0.551 1.903 273 17.57 4.312 -5.089 4.681 284 286.153 18.292
781.857 7000 -0.004 2.247 319 15.803 5.913 -6.173 3.924 332 291.335 16.966
767.13 7500 1.132 1.837 382 16.45 5.013 -8.091 3.654 404 296.19 18.332
752.628 8000 1.023 1.688 342 17.769 4.421 -7.974 3.974 350 294.168 19.476
738.348 8500 0.697 1.597 303 19.038 3.477 -7.508 4.796 319 291.522 20.465
724.289 9000 0.01 1.413 333 20.031 3.639 -6.536 5.309 351 288.07 21.07
710.448 9500 -0.805 1.545 379 21.044 3.766 -6.241 4.41 382 286.519 21.95
700.018 9882 -1.051 1.472 449 22.071 3.667 -5.397 4.544 473 283.741 22.721
696.821 10000 -1.189 1.513 464 22.376 3.956 -5.301 4.547 481 283.329 22.996
683.407 10500 -2.055 1.471 456 23.895 4.317 -4.324 4.299 470 280.257 24.283
670.203 11000 -3.023 1.295 394 24.716 3.655 -3.548 4.177 411 278.168 24.97
657.206 11500 -4.144 1.355 389 25.344 3.761 -3.38 3.905 404 277.597 25.568
644.414 12000 -5.264 1.165 349 25.401 4.222 -2.467 5.921 367 275.548 25.52
631.824 12500 -6.175 1.296 363 27.003 3.275 -1.297 4.848 375 272.75 27.034
619.434 13000 -7.196 1.23 361 28.231 3.611 -1.974 4.679 378 273.999 28.299
607.242 13500 -8.061 1.084 343 29.032 3.787 -1.043 4.065 363 272.057 29.051
